,country,year,sex,age,suicides_no,population,crude_rate_per_100k
407,Anguilla,1985,male,75+,0,193.3153901734104,13.185093722737907
408,Anguilla,1986,female,15-24,0,193.3153901734104,13.185093722737907
409,Anguilla,1986,female,25-34,0,193.3153901734104,13.185093722737907
410,Anguilla,1986,female,35-54,0,193.3153901734104,13.185093722737907
411,Anguilla,1986,female,05-14,0,193.3153901734104,13.185093722737907
412,Anguilla,1986,female,55-74,0,193.3153901734104,13.185093722737907
413,Anguilla,1986,female,75+,0,193.3153901734104,13.185093722737907
414,Anguilla,1986,male,15-24,0,193.3153901734104,13.185093722737907
415,Anguilla,1986,male,25-34,0,193.3153901734104,13.185093722737907
416,Anguilla,1986,male,35-54,0,193.3153901734104,13.185093722737907
417,Anguilla,1986,male,05-14,0,193.3153901734104,13.185093722737907
418,Anguilla,1986,male,55-74,0,193.3153901734104,13.185093722737907
419,Anguilla,1986,male,75+,0,193.3153901734104,13.185093722737907
420,Anguilla,1987,female,15-24,0,193.3153901734104,13.185093722737907
421,Anguilla,1987,female,25-34,0,193.3153901734104,13.185093722737907
422,Anguilla,1987,female,35-54,0,193.3153901734104,13.185093722737907
423,Anguilla,1987,female,05-14,0,193.3153901734104,13.185093722737907
424,Anguilla,1987,female,55-74,0,193.3153901734104,13.185093722737907
425,Anguilla,1987,female,75+,0,193.3153901734104,13.185093722737907
426,Anguilla,1987,male,15-24,0,193.3153901734104,13.185093722737907
427,Anguilla,1987,male,25-34,0,193.3153901734104,13.185093722737907
428,Anguilla,1987,male,35-54,0,193.3153901734104,13.185093722737907
429,Anguilla,1987,male,05-14,0,193.3153901734104,13.185093722737907
430,Anguilla,1987,male,55-74,0,193.3153901734104,13.185093722737907
431,Anguilla,1987,male,75+,0,193.3153901734104,13.185093722737907
432,Anguilla,1988,female,15-24,0,193.3153901734104,13.185093722737907
433,Anguilla,1988,female,25-34,0,193.3153901734104,13.185093722737907
434,Anguilla,1988,female,35-54,0,193.3153901734104,13.185093722737907
435,Anguilla,1988,female,05-14,0,193.3153901734104,13.185093722737907
436,Anguilla,1988,female,55-74,0,193.3153901734104,13.185093722737907
437,Anguilla,1988,female,75+,0,193.3153901734104,13.185093722737907
438,Anguilla,1988,male,15-24,0,193.3153901734104,13.185093722737907
439,Anguilla,1988,male,25-34,0,193.3153901734104,13.185093722737907
440,Anguilla,1988,male,35-54,0,193.3153901734104,13.185093722737907
441,Anguilla,1988,male,05-14,0,193.3153901734104,13.185093722737907
442,Anguilla,1988,male,55-74,0,193.3153901734104,13.185093722737907
443,Anguilla,1988,male,75+,0,193.3153901734104,13.185093722737907
444,Anguilla,1989,female,15-24,0,193.3153901734104,13.185093722737907
445,Anguilla,1989,female,25-34,0,193.3153901734104,13.185093722737907
446,Anguilla,1989,female,35-54,0,193.3153901734104,13.185093722737907
447,Anguilla,1989,female,05-14,0,193.3153901734104,13.185093722737907
448,Anguilla,1989,female,55-74,0,193.3153901734104,13.185093722737907
449,Anguilla,1989,female,75+,0,193.3153901734104,13.185093722737907
450,Anguilla,1989,male,15-24,0,193.3153901734104,13.185093722737907
451,Anguilla,1989,male,25-34,0,193.3153901734104,13.185093722737907
452,Anguilla,1989,male,35-54,0,193.3153901734104,13.185093722737907
453,Anguilla,1989,male,05-14,0,193.3153901734104,13.185093722737907
454,Anguilla,1989,male,55-74,0,193.3153901734104,13.185093722737907
455,Anguilla,1989,male,75+,0,193.3153901734104,13.185093722737907
